X,Y,Z,class
44.75,-41.08,-63.34,4
-0.06,-1.04,0.06,4
0.12,-1.34,0.12,4
44.86,-41.10,-62.95,4
0.18,-1.28,0.18,4
0.12,-1.34,0.12,4
44.67,-41.20,-63.49,4
0.24,-1.16,0.24,4
0.12,-1.34,0.12,4
44.91,-41.21,-63.01,4
0.18,-1.22,0.18,4
0.12,-1.34,0.12,4
44.38,-40.58,-63.62,4
-0.06,-0.92,0.00,4
0.12,-1.34,0.12,4
44.79,-40.54,-62.83,4
0.00,-1.04,0.12,4
0.12,-1.34,0.12,4
44.92,-40.72,-63.24,4
0.06,-1.28,0.12,4
0.12,-1.34,0.12,4
44.87,-40.14,-63.82,4
0.06,-0.85,0.18,4
0.12,-1.34,0.12,4
45.04,-40.52,-62.37,4
0.06,-1.04,0.06,4
0.12,-1.34,0.12,4
44.43,-40.67,-63.62,4
-0.12,-1.04,0.12,4
0.12,-1.34,0.12,4
44.52,-41.15,-64.26,4
0.31,-1.16,0.06,4
0.12,-1.34,0.12,4
44.84,-41.13,-63.48,4
0.06,-1.10,0.06,4
0.00,-1.22,0.00,4
44.29,-40.99,-63.02,4
0.12,-1.16,0.12,4
0.00,-1.22,0.00,4
45.06,-40.56,-62.37,4
0.00,-0.92,0.12,4
0.00,-1.22,0.00,4
44.75,-41.43,-63.28,4
0.12,-1.10,0.12,4
0.00,-1.22,0.00,4
44.73,-40.77,-62.71,4
0.06,-1.10,0.00,4
0.00,-1.22,0.00,4
44.46,-40.73,-63.33,4
0.18,-1.28,0.06,4
0.00,-1.22,0.00,4
44.74,-40.56,-63.00,4
-0.18,-0.98,0.18,4
-0.12,-0.92,0.24,4
44.82,-40.75,-63.05,4
-0.06,-1.28,0.12,4
-0.12,-0.92,0.24,4
45.03,-40.33,-63.34,4
0.24,-1.10,0.18,4
-0.12,-0.92,0.24,4
45.14,-40.73,-62.84,4
0.06,-1.10,0.31,4
-0.12,-0.92,0.24,4
45.04,-40.43,-64.56,4
0.00,-0.98,0.18,4
-0.12,-0.92,0.24,4
45.53,-39.89,-63.75,4
0.00,-1.04,0.06,4
-0.12,-0.92,0.24,4
45.31,-40.08,-63.09,4
0.06,-0.85,0.00,4
0.12,-0.98,0.00,4
44.76,-40.48,-62.73,4
-0.12,-1.16,0.06,4
0.12,-0.98,0.00,4
45.23,-40.47,-62.76,4
0.12,-1.10,0.12,4
0.12,-0.98,0.00,4
45.54,-40.48,-62.54,4
0.00,-0.98,0.18,4
0.12,-0.98,0.00,4
45.14,-40.22,-62.24,4
-0.06,-0.98,0.06,4
0.12,-0.98,0.00,4
45.18,-40.80,-61.72,4
-0.12,-1.04,0.12,4
0.12,-0.98,0.00,4
44.90,-40.52,-62.82,4
0.00,-0.98,0.18,4
0.06,-1.10,0.24,4
44.43,-40.87,-62.05,4
0.06,-1.04,0.06,4
0.06,-1.10,0.24,4
45.45,-40.33,-62.77,4
0.18,-1.04,0.24,4
0.06,-1.10,0.24,4
45.19,-40.53,-61.82,4
0.12,-1.10,0.06,4
0.06,-1.10,0.24,4
45.07,-41.15,-63.07,4
-0.12,-1.16,0.18,4
0.06,-1.10,0.24,4
44.84,-40.66,-62.66,4
0.06,-1.10,0.06,4
0.06,-1.10,0.24,4
45.03,-41.11,-63.35,4
-0.06,-1.22,0.12,4
0.12,-0.92,0.06,4
44.91,-40.12,-62.66,4
0.06,-0.92,0.24,4
0.12,-0.92,0.06,4
45.01,-40.72,-63.04,4
-0.06,-0.98,0.18,4
0.12,-0.92,0.06,4
44.81,-40.15,-62.22,4
0.00,-1.04,0.12,4
0.12,-0.92,0.06,4
44.51,-40.81,-62.83,4
0.18,-0.92,0.12,4
0.12,-0.92,0.06,4
44.58,-40.80,-63.29,4
0.12,-1.04,0.18,4
0.12,-0.92,0.06,4
45.01,-40.30,-63.10,4
0.18,-1.16,0.12,4
0.12,-1.34,0.12,4
44.96,-40.82,-62.77,4
0.24,-1.04,0.18,4
0.12,-1.34,0.12,4
44.93,-40.52,-62.17,4
0.06,-0.92,0.12,4
0.12,-1.34,0.12,4
45.21,-40.55,-63.12,4
0.06,-1.22,0.18,4
0.12,-1.34,0.12,4
44.73,-40.60,-62.92,4
0.06,-0.98,0.00,4
0.12,-1.34,0.12,4
44.54,-41.00,-63.21,4
-0.06,-1.16,0.00,4
0.12,-1.34,0.12,4
44.80,-40.45,-63.55,4
0.06,-0.92,0.12,4
0.06,-1.16,0.18,4
44.46,-40.27,-63.16,4
0.06,-1.04,0.06,4
0.06,-1.16,0.18,4
44.21,-39.60,-62.95,4
-0.06,-0.98,0.00,4
0.06,-1.16,0.18,4
45.06,-39.88,-63.73,4
-0.12,-1.04,0.12,4
0.06,-1.16,0.18,4
44.87,-40.42,-63.02,4
