X,Y,Z,class
-0.24,-0.61,0.00,2
9.27,5.83,65.56,2
0.06,-0.79,0.24,2
-0.24,-0.61,0.00,2
9.40,6.38,65.67,2
-0.06,-0.73,0.00,2
-0.24,-0.61,0.00,2
9.19,6.12,64.51,2
-0.06,-0.61,0.00,2
-0.24,-0.61,0.00,2
9.19,6.21,64.84,2
-0.06,-0.67,0.00,2
-0.12,-0.61,0.06,2
9.17,5.77,64.54,2
0.24,-0.61,0.12,2
-0.12,-0.61,0.06,2
9.11,6.37,65.17,2
-0.24,-0.67,0.06,2
-0.12,-0.61,0.06,2
9.25,6.02,66.16,2
0.12,-0.92,0.06,2
-0.12,-0.61,0.06,2
9.18,5.87,65.15,2
0.00,-0.92,0.18,2
-0.12,-0.61,0.06,2
9.28,6.29,64.36,2
0.06,-0.98,0.12,2
-0.12,-0.61,0.06,2
9.06,6.30,65.00,2
-0.12,-0.79,0.12,2
-0.18,-0.73,0.12,2
9.23,6.82,65.00,2
-0.12,-0.73,0.06,2
-0.18,-0.73,0.12,2
9.77,6.01,65.86,2
0.06,-0.92,0.06,2
-0.18,-0.73,0.12,2
9.46,6.08,64.95,2
0.12,-0.73,0.06,2
-0.18,-0.73,0.12,2
9.42,5.68,64.61,2
-0.12,-0.79,0.06,2
-0.18,-0.73,0.12,2
9.03,6.41,64.77,2
0.06,-0.49,0.12,2
-0.18,-0.73,0.12,2
9.07,6.05,64.88,2
-0.06,-0.43,-0.06,2
-0.06,-0.43,0.06,2
9.42,5.60,65.09,2
-0.06,-0.61,0.18,2
-0.06,-0.43,0.06,2
9.22,6.20,64.56,2
0.00,-0.49,0.06,2
-0.06,-0.43,0.06,2
9.52,6.08,64.49,2
-0.24,-0.79,0.06,2
-0.06,-0.43,0.06,2
9.06,5.96,64.97,2
-0.06,-0.79,0.06,2
-0.06,-0.43,0.06,2
8.45,6.20,64.64,2
0.06,-0.61,0.00,2
-0.06,-0.43,0.06,2
9.25,6.02,65.33,2
0.12,-0.73,0.12,2
0.24,-0.61,0.06,2
9.66,5.76,64.01,2
-0.06,-0.79,0.06,2
0.24,-0.61,0.06,2
9.50,5.96,65.05,2
0.00,-0.49,0.06,2
0.24,-0.61,0.06,2
9.45,5.96,65.21,2
0.67,-0.55,0.00,2
0.24,-0.61,0.06,2
9.34,6.45,64.39,2
-0.37,-0.67,0.12,2
0.24,-0.61,0.06,2
9.85,6.43,64.23,2
-0.18,-0.55,0.06,2
0.24,-0.61,0.06,2
9.61,6.23,64.94,2
-0.18,-0.37,0.00,2
-0.06,-0.43,0.00,2
9.38,6.53,64.95,2
0.12,-0.43,0.00,2
-0.06,-0.43,0.00,2
9.36,5.77,64.87,2
-0.06,-0.67,0.12,2
-0.06,-0.43,0.00,2
9.48,5.94,64.59,2
-0.06,-0.49,0.06,2
-0.06,-0.43,0.00,2
9.34,6.05,64.51,2
0.06,-0.73,0.06,2
-0.06,-0.43,0.00,2
9.29,6.24,64.97,2
0.12,-0.55,0.06,2
-0.06,-0.43,0.00,2
9.47,5.97,64.22,2
0.12,-0.79,0.00,2
-0.06,-0.43,0.00,2
9.92,5.86,64.32,2
-0.06,-0.31,0.06,2
0.06,-0.49,0.12,2
9.81,6.31,64.53,2
-0.06,-0.55,0.12,2
0.06,-0.49,0.12,2
9.23,6.49,65.59,2
-0.12,-0.55,0.06,2
0.06,-0.49,0.12,2
10.38,6.27,63.29,2
-0.12,-0.67,0.12,2
0.06,-0.49,0.12,2
9.62,6.56,64.29,2
0.12,-0.61,0.18,2
0.06,-0.49,0.12,2
9.23,6.42,64.17,2
-0.18,-0.67,-0.06,2
0.06,-0.49,0.12,2
9.89,5.93,64.34,2
-0.12,-0.49,0.12,2
-0.18,-0.49,0.00,2
9.79,6.65,64.65,2
0.06,-0.61,0.12,2
-0.18,-0.49,0.00,2
9.62,5.88,63.81,2
0.00,-0.61,0.06,2
-0.18,-0.49,0.00,2
9.36,5.85,64.50,2
-0.06,-0.61,0.06,2
-0.18,-0.49,0.00,2
9.17,6.35,64.28,2
0.00,-0.61,0.00,2
-0.18,-0.49,0.00,2
9.72,5.48,64.39,2
-0.12,-0.73,0.06,2
-0.18,-0.49,0.00,2
9.28,6.05,64.32,2
-0.12,-0.67,0.24,2
0.00,-0.67,0.12,2
9.67,5.73,64.89,2
0.12,-0.73,0.12,2
0.00,-0.67,0.12,2
9.86,5.85,64.76,2
-0.06,-0.67,0.06,2
0.00,-0.67,0.12,2
9.07,6.43,64.05,2
0.00,-0.67,0.12,2
0.00,-0.67,0.12,2
9.55,5.97,64.77,2
0.00,-0.73,0.18,2
0.00,-0.67,0.12,2
9.19,6.59,64.88,2
-0.12,-0.85,0.00,2
0.00,-0.67,0.12,2
9.40,6.15,64.66,2
0.06,-0.55,0.18,2
-0.18,-0.85,0.18,2
9.59,6.14,64.84,2
-0.12,-0.73,0.06,2
-0.18,-0.85,0.18,2
9.11,6.40,65.05,2
-0.24,-0.98,0.00,2
-0.18,-0.85,0.18,2
9.75,6.65,64.40,2
-0.12,-0.67,0.18,2
-0.18,-0.85,0.18,2
9.55,6.42,63.79,2
-0.06,-0.73,0.00,2
-0.18,-0.85,0.18,2
9.92,6.16,64.03,2
0.06,-0.67,0.06,2
-0.18,-0.85,0.18,2
9.40,6.34,65.06,2
0.06,-0.61,0.00,2
0.06,-0.85,0.00,2
9.70,6.01,64.14,2
-0.12,-0.73,0.00,2
0.06,-0.85,0.00,2
9.29,5.98,64.88,2
0.00,-0.49,0.00,2
0.06,-0.85,0.00,2
8.97,6.65,65.58,2
0.12,-0.55,0.18,2
0.06,-0.85,0.00,2
9.09,5.80,64.32,2
-0.31,-0.73,0.06,2
0.06,-0.85,0.00,2
9.55,5.65,66.14,2
0.18,-0.55,0.12,2
0.06,-0.85,0.00,2
9.28,6.05,64.22,2
0.00,-0.55,0.12,2
-0.12,-0.49,0.06,2
9.66,6.16,64.44,2
-0.18,-0.73,0.12,2
-0.12,-0.49,0.06,2
9.36,5.87,66.60,2
0.00,-0.61,0.06,2
-0.12,-0.49,0.06,2
9.51,5.93,64.90,2
-0.06,-0.73,0.00,2
-0.12,-0.49,0.06,2
9.46,6.36,64.90,2
0.00,-0.73,0.12,2
-0.12,-0.49,0.06,2
9.77,6.15,65.48,2
-0.06,-0.67,0.00,2
-0.12,-0.49,0.06,2
9.94,5.91,65.41,2
0.00,-0.43,0.12,2
-0.12,-0.49,0.06,2
9.77,6.05,64.10,2
-0.31,-0.67,0.18,2
-0.12,-0.49,0.06,2
9.39,5.87,64.97,2
0.06,-0.73,0.18,2
-0.12,-0.49,0.06,2
9.41,6.35,64.70,2
-0.06,-0.73,0.00,2
-0.12,-0.49,0.06,2
9.24,6.49,66.10,2
-0.06,-0.55,0.00,2
-0.12,-0.49,0.06,2
9.58,6.29,64.64,2
0.12,-0.61,0.06,2
-0.12,-0.49,0.06,2
9.50,6.29,64.36,2
-0.18,-0.79,0.24,2
-0.18,-0.79,0.12,2
9.28,5.74,65.67,2
0.06,-0.55,-0.06,2
-0.18,-0.79,0.12,2
9.64,6.20,64.71,2
-0.24,-0.49,0.00,2
-0.18,-0.79,0.12,2
9.35,5.97,63.83,2
-0.06,-0.61,0.00,2
-0.18,-0.79,0.12,2
9.40,6.05,63.92,2
0.18,-0.55,0.12,2
-0.18,-0.79,0.12,2
10.28,6.36,65.03,2
-0.06,-0.55,0.06,2
-0.18,-0.79,0.12,2
9.17,6.25,65.48,2
0.00,-0.79,0.12,2
0.00,-0.61,0.12,2
9.67,6.26,65.20,2
0.12,-0.61,0.12,2
0.00,-0.61,0.12,2
9.91,6.16,64.55,2
-0.06,-0.67,0.06,2
0.00,-0.61,0.12,2
9.66,5.64,64.86,2
0.00,-0.49,0.12,2
0.00,-0.61,0.12,2
9.53,6.73,65.27,2
0.18,-0.73,0.18,2
0.00,-0.61,0.12,2
9.92,6.43,64.37,2
-0.12,-0.61,0.06,2
0.00,-0.61,0.12,2
9.18,6.15,64.39,2
0.06,-0.61,0.06,2
-0.06,-0.61,0.12,2
9.73,6.48,64.17,2
-0.06,-0.67,0.06,2
-0.06,-0.61,0.12,2
9.70,6.07,64.22,2
-0.24,-0.73,0.12,2
-0.06,-0.61,0.12,2
8.94,6.16,64.87,2
-0.12,-0.49,0.18,2
-0.06,-0.61,0.12,2
10.02,6.95,64.58,2
0.31,-0.37,0.12,2
-0.06,-0.61,0.12,2
9.92,6.19,64.98,2
-0.06,-0.49,0.12,2
-0.06,-0.61,0.12,2
10.33,6.75,65.60,2
0.12,-0.49,0.18,2
0.18,-0.55,0.18,2
9.05,6.01,65.06,2
0.00,-0.55,0.00,2
0.18,-0.55,0.18,2
9.58,6.14,64.10,2
-0.31,-0.55,0.00,2
0.18,-0.55,0.18,2
9.56,5.92,65.42,2
-0.12,-0.73,0.06,2
0.18,-0.55,0.18,2
9.24,6.42,63.67,2
-0.12,-0.61,0.00,2
0.18,-0.55,0.18,2
9.12,6.23,63.98,2
0.12,-0.43,0.00,2
0.18,-0.55,0.18,2
9.13,5.91,65.32,2
0.00,-0.61,0.12,2
0.00,-0.43,0.18,2
9.38,6.73,64.21,2
0.06,-0.61,0.06,2
0.00,-0.43,0.18,2
9.53,6.02,66.25,2
0.06,-0.49,0.18,2
0.00,-0.43,0.18,2
9.84,6.71,65.48,2
0.00,-0.49,0.06,2
0.00,-0.43,0.18,2
9.64,6.16,65.11,2
0.00,-0.73,0.12,2
0.00,-0.43,0.18,2
9.95,6.21,64.06,2
0.00,-0.67,0.18,2
0.00,-0.43,0.18,2
9.85,6.20,65.33,2
0.00,-0.61,0.12,2
0.00,-0.43,0.18,2
9.44,6.30,65.59,2
0.12,-0.79,0.06,2
0.00,-0.43,0.18,2
9.96,6.02,64.29,2
-0.06,-0.55,0.06,2
0.00,-0.43,0.18,2
9.09,6.48,64.70,2
0.24,-0.43,0.18,2
0.00,-0.43,0.18,2
9.30,6.36,64.49,2
0.06,-0.43,0.00,2
0.00,-0.43,0.18,2
9.95,6.24,64.99,2
0.00,-0.43,0.00,2
0.00,-0.43,0.18,2
9.02,6.21,64.28,2
-0.06,-0.61,0.06,2
0.00,-0.43,0.18,2
9.62,6.21,64.54,2
-0.06,-0.55,0.12,2
0.00,-0.43,0.18,2
9.78,5.90,64.81,2
0.06,-0.49,0.24,2
0.00,-0.43,0.18,2
9.48,6.09,63.94,2
0.00,-0.67,0.12,2
0.00,-0.43,0.18,2
8.96,6.07,65.50,2
-0.37,-0.43,0.00,2
0.00,-0.43,0.18,2
9.20,6.41,64.95,2
0.12,-0.79,0.00,2
0.00,-0.73,0.06,2
9.33,6.15,64.42,2
-0.12,-0.49,-0.06,2
0.00,-0.73,0.06,2
9.12,5.83,65.23,2
-0.31,-0.79,0.12,2
0.00,-0.73,0.06,2
9.35,6.51,65.93,2
0.12,-0.79,0.24,2
0.00,-0.73,0.06,2
9.74,6.42,64.67,2
0.24,-0.61,0.06,2
