X,Y,Z,class
0.18,-1.40,-0.06,3
-0.12,-1.59,0.00,3
-0.51,51.57,-73.40,3
0.12,-1.34,0.12,3
-0.12,-1.59,0.00,3
0.13,51.40,-74.29,3
0.06,-1.46,0.00,3
-0.12,-1.59,0.00,3
-2.94,51.44,-73.34,3
0.00,-1.28,0.06,3
-0.12,-1.59,0.00,3
-0.26,51.61,-74.16,3
0.12,-1.46,-0.06,3
-0.12,-1.59,0.00,3
0.38,51.03,-73.16,3
-0.06,-1.40,-0.12,3
-0.12,-1.59,0.00,3
0.29,51.64,-74.41,3
0.00,-1.40,-0.06,3
-0.12,-1.59,0.00,3
0.28,51.75,-72.62,3
0.06,-1.10,-0.24,3
-0.12,-1.59,0.00,3
-0.17,51.72,-73.58,3
-0.06,-1.16,0.06,3
-0.12,-1.59,0.00,3
0.28,51.61,-72.95,3
-0.06,-1.22,0.06,3
-0.12,-1.59,0.00,3
0.20,51.25,-74.15,3
0.18,-1.22,0.18,3
-0.12,-1.59,0.00,3
0.11,51.17,-73.44,3
0.06,-1.10,-0.18,3
-0.12,-1.59,0.00,3
0.29,51.68,-72.83,3
-0.12,-1.16,-0.06,3
-0.12,-1.59,0.00,3
-0.06,51.06,-73.82,3
-0.06,-1.22,-0.12,3
-0.12,-1.59,0.00,3
0.16,51.26,-73.34,3
0.06,-1.28,0.06,3
-0.12,-1.59,0.00,3
-0.60,50.88,-73.43,3
0.12,-1.28,-0.06,3
-0.12,-1.59,0.00,3
-0.22,51.37,-73.52,3
0.00,-1.40,-0.06,3
-0.12,-1.59,0.00,3
-0.54,51.32,-73.41,3
0.12,-1.22,-0.06,3
-0.12,-1.59,0.00,3
0.04,50.66,-74.19,3
0.06,-1.28,-0.18,3
0.18,-1.46,-0.18,3
-0.28,50.87,-72.72,3
-0.12,-1.28,-15.56,3
0.18,-1.46,-0.18,3
-0.01,51.35,-72.77,3
-0.06,-1.28,-0.12,3
0.18,-1.46,-0.18,3
0.39,51.97,-74.37,3
0.06,-1.34,-0.06,3
0.18,-1.46,-0.18,3
-0.16,51.14,-73.71,3
0.12,-1.22,-0.06,3
0.18,-1.46,-0.18,3
0.54,51.73,-73.77,3
0.06,-1.46,0.06,3
0.18,-1.46,-0.18,3
0.13,51.29,-73.67,3
-0.18,-1.40,0.00,3
0.18,-1.46,-0.18,3
0.39,51.29,-73.18,3
0.18,-1.71,0.00,3
0.18,-1.46,-0.18,3
0.09,51.59,-73.41,3
0.06,-1.22,0.06,3
0.18,-1.46,-0.18,3
0.26,51.14,-73.74,3
0.24,-1.28,0.00,3
0.18,-1.46,-0.18,3
-0.31,51.78,-72.67,3
0.12,-1.46,0.06,3
0.18,-1.46,-0.18,3
-0.12,51.45,-73.54,3
-0.18,-1.40,0.00,3
0.18,-1.46,-0.18,3
0.29,51.53,-74.12,3
0.00,-1.40,-0.12,3
0.18,-1.46,-0.18,3
-0.34,51.44,-73.52,3
0.06,-1.40,-0.12,3
0.18,-1.46,-0.18,3
-0.52,51.93,-73.84,3
-0.06,-1.40,0.06,3
0.18,-1.46,-0.18,3
-0.27,51.82,-74.67,3
0.06,-1.34,-0.12,3
0.18,-1.46,-0.18,3
0.12,52.14,-73.69,3
0.12,-1.46,0.06,3
0.18,-1.46,-0.18,3
0.51,51.55,-74.10,3
0.00,-1.40,0.00,3
0.18,-1.46,-0.18,3
0.22,51.66,-73.82,3
0.12,-1.22,-0.12,3
0.18,-1.46,-0.18,3
-0.29,51.82,-73.83,3
-0.06,-1.28,-0.31,3
0.18,-1.46,-0.18,3
0.33,51.64,-73.11,3
0.12,-1.34,-0.06,3
0.18,-1.46,-0.18,3
0.16,51.50,-73.24,3
-0.12,-1.10,-0.12,3
0.18,-1.46,-0.18,3
-0.17,51.90,-72.52,3
-0.06,-1.28,-0.06,3
0.18,-1.46,-0.18,3
