X,Y,Z,class
0.37,-1.95,0.49,1
0.31,-1.77,0.31,1
0.78,-42.24,-106.30,1
0.12,-2.01,0.31,1
0.31,-1.77,0.31,1
0.57,-42.68,-106.40,1
0.31,-1.89,0.37,1
0.31,-1.77,0.31,1
0.48,-42.15,-105.33,1
0.37,-1.77,0.43,1
0.31,-1.77,0.31,1
0.88,-41.41,-105.20,1
0.18,-2.08,0.24,1
0.31,-1.77,0.31,1
0.83,-41.85,-105.42,1
0.37,-1.83,0.37,1
0.31,-1.77,0.31,1
0.52,-42.16,-106.21,1
0.43,-1.77,0.37,1
0.31,-1.77,0.31,1
0.72,-41.65,-106.09,1
0.18,-1.77,0.43,1
0.31,-1.77,0.31,1
0.65,-42.02,-105.86,1
-0.12,-1.89,0.43,1
0.31,-1.77,0.31,1
0.73,-41.75,-106.36,1
0.37,-1.89,0.31,1
0.31,-1.77,0.31,1
0.55,-41.44,-105.86,1
0.18,-2.01,0.37,1
0.31,-1.77,0.31,1
1.01,-41.77,-105.18,1
0.12,-1.77,0.43,1
0.31,-1.77,0.31,1
-0.20,-41.56,-106.73,1
0.18,-1.89,0.43,1
0.31,-1.77,0.31,1
0.21,-42.09,-106.88,1
0.24,-1.77,0.37,1
0.18,-1.89,0.37,1
0.31,-42.32,-105.70,1
0.12,-1.71,0.31,1
0.18,-1.89,0.37,1
0.88,-41.48,-105.54,1
0.06,-1.77,0.31,1
0.18,-1.89,0.37,1
0.74,-42.14,-106.53,1
0.37,-1.77,0.24,1
0.18,-1.89,0.37,1
0.60,-41.56,-105.60,1
0.06,-1.83,0.37,1
0.18,-1.89,0.37,1
0.42,-41.09,-105.63,1
0.18,-1.59,0.37,1
0.18,-1.89,0.37,1
0.40,-41.54,-106.25,1
0.24,-1.71,0.24,1
0.18,-1.59,0.31,1
0.46,-41.55,-105.87,1
0.24,-1.89,0.31,1
0.18,-1.59,0.31,1
0.10,-41.98,-105.44,1
0.31,-1.65,0.43,1
0.18,-1.59,0.31,1
0.23,-41.71,-105.82,1
0.24,-1.65,0.43,1
0.18,-1.59,0.31,1
0.51,-42.18,-105.66,1
0.12,-1.89,0.37,1
0.18,-1.59,0.31,1
0.70,-41.63,-105.97,1
0.37,-1.83,0.49,1
0.18,-1.59,0.31,1
0.20,-41.80,-104.59,1
0.24,-1.89,0.37,1
0.18,-1.89,0.55,1
0.35,-42.15,-105.62,1
0.24,-1.71,0.43,1
0.18,-1.89,0.55,1
0.24,-41.81,-105.65,1
0.06,-1.71,0.24,1
0.18,-1.89,0.55,1
1.17,-41.43,-105.80,1
0.18,-1.65,0.43,1
0.18,-1.89,0.55,1
0.15,-41.67,-105.19,1
0.18,-1.77,0.37,1
0.18,-1.89,0.55,1
0.11,-41.27,-105.99,1
0.24,-1.53,0.31,1
0.18,-1.89,0.55,1
0.27,-41.15,-106.34,1
0.18,-1.89,0.43,1
0.12,-1.95,0.24,1
0.82,-42.30,-104.92,1
0.12,-2.01,0.37,1
0.12,-1.95,0.24,1
0.66,-41.59,-104.88,1
0.43,-1.77,0.18,1
0.12,-1.95,0.24,1
0.32,-41.96,-105.93,1
0.06,-1.89,0.31,1
0.12,-1.95,0.24,1
0.90,-41.48,-105.55,1
0.24,-1.89,0.49,1
0.12,-1.95,0.24,1
0.79,-41.49,-105.16,1
0.00,-1.71,0.49,1
0.12,-1.95,0.24,1
0.35,-42.00,-104.90,1
-0.06,-1.71,0.31,1
0.12,-1.83,0.24,1
0.24,-41.33,-106.27,1
0.24,-1.59,0.18,1
0.12,-1.83,0.24,1
0.34,-41.66,-105.52,1
0.18,-1.65,0.31,1
0.12,-1.83,0.24,1
0.96,-41.99,-105.41,1
0.18,-1.77,0.31,1
0.12,-1.83,0.24,1
0.81,-42.21,-104.11,1
0.12,-1.65,0.43,1
0.12,-1.83,0.24,1
0.88,-42.13,-104.14,1
0.06,-1.77,0.12,1
0.12,-1.83,0.24,1
0.66,-41.77,-105.51,1
-0.06,-1.71,0.37,1
0.12,-1.71,0.43,1
0.84,-41.93,-105.49,1
0.00,-1.59,0.37,1
0.12,-1.71,0.43,1
0.84,-42.04,-105.32,1
0.24,-1.65,0.37,1
0.12,-1.71,0.43,1
0.37,-42.10,-105.88,1
0.06,-1.71,0.43,1
0.12,-1.71,0.43,1
0.43,-42.07,-105.54,1
0.24,-1.71,0.24,1
